,摄影师,标题,简介,相机,镜头,照片数据,流量,赞数,评论数,光圈,ISO,快门速度,快门速度(毫秒)
17,摄影师陈禾落落,不语~,人像爱好者拍女友才是正经事暖色调人像胶片人像摄影胶片集有温度的人像人像写真精选写真人像摄影高颜值女神聚集地分享神仙颜值人像时尚优雅肖像女人看,Canon EOS 5D Mark III,Canon EF 70-200mm f/2.8L IS II USM,"f/4.0, 1/125s, ISO100",2136.0,57.0,0.0,4.0,100,1/125s,8.0
18,水木清心photo,用心抒写生活,人像爱好者周末好时光婚礼与写真高颜值女神聚集地暖色调人像日系集分享神仙颜值写真少女写真油画宫廷婚礼纪实婚礼,,,"f/2.0, 1/250s, ISO100",4258.0,98.0,10.0,2.0,100,1/250s,4.0
19,恍光,,“遇见春天”摄影小赛色彩人像风光抓拍女孩少女摄影汉服古风,SONY ILCE-7SM2,FE 50mm F1.8,"f/1.8, 1/800s, ISO100",1011.0,27.0,0.0,1.8,100,1/800s,1.25
22,邱英英英,完整版故事见公众号@小邱的任意门,人像胶片文艺写真深圳约拍写真集女生美女故事,Canon EOS 6D,Canon EF 85mm f/1.2L II USM,"f/6.3, 1/400s, ISO100",878.0,19.0,0.0,6.3,100,1/400s,2.5
23,科尔森,与植物来一次亲密接触😀,写真人像摄影人像爱好者有温度的人像冷色调人像高颜值女神聚集地大自然女人人像植物花放松漂亮的时尚现代的女孩,Nikon D850,,"f/4.0, 1/160s, ISO320",847.0,20.0,0.0,4.0,320,1/160s,6.25
25,汕头花鹿映画婚纱摄影,"来看一点不一样风格的婚纱照
精致和优雅让每一张照片充满质感📸",婚礼与写真婚礼模型新娘服装时尚女孩,Canon EOS 5D Mark III,Canon EF 50mm f/1.4 USM,"f/2.5, 1/100s, ISO500",1296.0,28.0,2.0,2.5,500,1/100s,10.0
28,小麦skin,一抹夕阳恰似你的温柔,色彩人像抓拍美女情绪花卉光影写真大自然,SONY ILCE-7RM3,SIGMA 135mm F1.8 DG HSM | Art 017,"f/1.8, 1/8000s, ISO50",2492.0,79.0,2.0,1.8,50,1/8000s,0.125
29,Shin_w,"每个夏天都会是我们的夏天   

（刚下的图虫 感觉还不太会用 请大家多多包涵）",日系集校园摄影师这样拍人像少女情绪日系胶片风,Canon EOS 80D,,"f/2.0, 1/250s, ISO200",1185.0,27.0,2.0,2.0,200,1/250s,4.0
30,一只布朗尼,你在哪里呢？这次参考了一些柯达ektar胶片的效果，皮肤上主要以黄色为主粉色为辅下，当天天气有点阴，但是小姐姐很暖😄所以把整体也加了点暖色，提升点治愈感，最后就变成了暖色调胶片风格,写真人像摄影暖色调人像胶片人像摄影我们都爱日系摄影V人像圈子人像写真精选胶片私房人像人像日系小姐姐轻私房富士XH1美女室内人像,FUJIFILM X-H1,,"f/3.2, 1/125s, ISO250",854.0,17.0,0.0,3.2,250,1/125s,8.0
33,KylinLau_麒麟,一组古典油画风的尝试,时尚杂志摄影圈子油画感人像艺术时尚,Canon EOS 5D Mark III,Canon EF 24-105mm f/4L IS USM,"f/10.0, 1/50s, ISO100",569.0,17.0,2.0,10.0,100,1/50s,20.0
35,伊祁放勋,预告片,人像写真精选人像女人情绪美女24-70,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/500s, ISO800",2251.0,48.0,0.0,2.8,800,1/500s,2.0
37,零零亦a,森系少女,人像写真精选写真人像摄影胶片人像摄影糖水人像小组人像女人肖像风光女孩漂亮的日系小清新情绪短发短发女孩美女女生,Canon EOS 700D,Canon EF 50mm f/1.8 STM,"f/1.8, 1/1000s, ISO100",1400.0,24.0,0.0,1.8,100,1/1000s,1.0
38,Tommy汤面,后来的我,写真人像摄影广州佛山人像摄影约拍小组广州约拍圈子人像色彩美女女神文艺复古写真,SONY ILCE-7RM2,,"f/2.0, 1/125s, ISO2000",5442.0,143.0,4.0,2.0,2000,1/125s,8.0
42,西兰花真好吃,妍,图虫封面你做主像极了爱情我要上开屏北京约拍人像女人少女美女,,,"f/1.8, 1/125s, ISO640",3051.0,103.0,4.0,1.8,640,1/125s,8.0
43,moretta,,人像情绪私房复古写真唯美性冷淡深圳约拍,Canon EOS 6D,Canon EF 24-70mm f/2.8L II USM,"f/3.2, 1/160s, ISO100",8021.0,233.0,5.0,3.2,100,1/160s,6.25
45,H酱紫,"ASUKA：@半半子_
PHX：@H酱紫",人像cosCosplay摄影女神明日香EVAEvangelion清新日系,SONY ILCE-7RM3,,"f/2.8, 1/100s, ISO1000",3665.0,56.0,3.0,2.8,1000,1/100s,10.0
46,思雨Rosery,"冬有冬的来意，寒冷像花
花有花香，冬有回忆一把。

一组私房",暖色调人像抓拍色彩新娘时尚优雅手机在室内爱内衣胶片人像背部性感的人物风光纪实,Canon EOS 6D,Canon EF 35mm f/1.4L USM,"f/1.8, 1/60s, ISO100",2570.0,59.0,1.0,1.8,100,1/60s,16.666666666666668
47,DALING-灵,"出镜：芳源
摄影：@DALING-灵",人像佳能小清新美女少女,Canon EOS 5D Mark IV,Canon EF 50mm f/1.2L USM,"f/1.8, 1/250s, ISO800",2507.0,64.0,2.0,1.8,800,1/250s,4.0
50,笑女侠也,"坠落凡间。
客
摄/笑女侠也",清新优雅少女写真法式唯美森系人像分享神仙颜值我要上开屏高颜值女神聚集地拍女友才是正经事人像不给脸！暖色调人像冷色调人像人像摄影集美女人像群,SONY ILCE-7RM2,,"f/3.5, 1/100s, ISO125",11132.0,335.0,16.0,3.5,125,1/100s,10.0
51,云上月亮,,人像少女日系在室内,Canon EOS 6D Mark II,Canon EF 50mm f/1.8 II,"f/2.0, 1/160s, ISO2500",1853.0,61.0,1.0,2.0,2500,1/160s,6.25
56,照型師孙鑫,摄影修图,人像胶片时尚女人肖像年轻漂亮的女孩,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/8.0, 1/125s, ISO100",1310.0,48.0,1.0,8.0,100,1/125s,8.0
58,A0kacie茄酱₂₀₁₈,,人像摄影汉服古风写真,Canon EOS 5D Mark IV,Canon EF 50mm f/1.8 II,"f/2.8, 1/320s, ISO100",1277.0,25.0,0.0,2.8,100,1/320s,3.125
63,三亚摄影诗东哲欧巴,真想有个摄影棚而不是菜市场哎，现在这破棚人来人往的不说，声音嘈杂，光源杂乱，真不如给我个出租屋好出片。说说这组光线，也算是连蒙带试，毕竟第一次这么拍，说简单也简单说难也难，就是掌握好影子（暗部）与表达主体（亮部）的光比就好了，直接转档就这样了，PS都没再用任何工具再调色，就是磨皮液化一下，拍摄用了2个小时，一点点摸索感觉，然后8点半开始修，修到半夜12点收工，最后一张转档截图，我是个倔强的半身加特写型的摄影师,高颜值女神聚集地对短发姑娘没有任何抵抗力！写真人像摄影日系集拍女友才是正经事暖色调人像我要上开屏我要上“首页推荐位”分享神仙颜值无创意，不摄影人像色彩胶片光佳能女神约拍三亚教程后期,Canon EOS 5D Mark III,Canon EF 50mm f/1.4 USM,"f/1.8, 1/80s, ISO50",1072.0,38.0,4.0,1.8,50,1/80s,12.5
70,文艺天少,#英雄联盟##长沙约拍##cos预告#kda女团同人 还是第一次拍这套 出镜：丸子  小树林  秀柒   球球摄影及后期：天少,让摄影穿破次元壁Cosplay摄影集中地人像色彩私房光影日系少女小清新英雄联盟,,,"f/1.8, 1/125s, ISO125",2894.0,78.0,13.0,1.8,125,1/125s,8.0
71,Dragon_Long,"主题：阴天少女

模特：陈艺嘉

摄影&amp;后期；Dragon Long",人像美女女孩黑白,FUJIFILM GFX 50S,,"f/2.8, 1/250s, ISO200",135748.0,802.0,65.0,2.8,200,1/250s,4.0
72,H酱紫,爱宕：半半子,人像cosCosplay摄影二次元cos人像碧蓝航线爱宕女神少女,SONY ILCE-7RM3,FE 85mm F1.4 GM,"f/4.0, 1/100s, ISO100",4927.0,70.0,3.0,4.0,100,1/100s,10.0
73,木水浩Howie,美人图鉴,有温度的人像糖水人像小组微单摄影联萌高颜值女神聚集地暖色调人像我要上“首页推荐位”像极了爱情为私房摄影正名！分享神仙颜值西安摄影爱好者人像女孩私房港风美女性感的色彩魅力漂亮的胶片,SONY ILCE-7M3,SIGMA 35mm F1.4 DG HSM | Art 018,"f/1.4, 1/30s, ISO640",1520.0,35.0,2.0,1.4,640,1/30s,33.333333333333336
77,蛋仔面,,人像色彩写真,Canon EOS 5D Mark II,Canon EF 16-35mm f/2.8L II USM,"f/2.8, 1/30s, ISO200",1051.0,20.0,1.0,2.8,200,1/30s,33.333333333333336
78,爱学习的小袁,又长大了一岁,胶片人像摄影人像肖像女孩性感的时尚,SONY ILCE-5100,,"f/4.5, 1/5s, ISO3200",1066.0,20.0,4.0,4.5,3200,1/5s,200.0
82,川芥川芥,“我们终有一天，要学会和自己、和这个世界达成和解。 ”,人像写真精选人像少女日系JK,Canon EOS 60D,Canon EF 50mm f/1.8 STM,"f/2.8, 1/3200s, ISO100",4851.0,57.0,1.0,2.8,100,1/3200s,0.3125
85,MixMico米扣,,人像色彩光影情绪美女光艺术展深圳展览Mix.Mico人像摄影,,,"f/2.8, 1/80s, ISO100",13204.0,318.0,16.0,2.8,100,1/80s,12.5
87,lemon凉卜,"春·樱花篇
三月樱桃开
希望生活的春天早点回来~",写真人像摄影人像写真精选取景器里的小美好人像写真女生日系日系写真人生活樱花,Nikon D750,AF Nikkor 85mm f/1.8D,"f/2.5, 1/400s, ISO125",1303.0,25.0,0.0,2.5,125,1/400s,2.5
88,我是大星,天狗山上,图虫封面你做主暖色调人像冷色调人像「摄影书房」摄影书公开征集你来拍照，我来配诗，来一场摄影与诗的缠绵人间四月天，找寻最美的你分享神仙颜值拍女友才是正经事我要上“首页推荐位”色彩人像日本北海道小樽天狗山雪少女情绪,SONY ILCE-7M2,,"f/4.0, 1/200s, ISO100",553.0,18.0,3.0,4.0,100,1/200s,5.0
89,游弋yoyi,出镜：火美童子 出品：有映画工作室,人像美女复古,SONY ILCE-7RM3,FE 24-70mm F2.8 GM,"f/2.8, 1/250s, ISO100",1602.0,47.0,0.0,2.8,100,1/250s,4.0
91,嚼啊嚼嚼嚼,假期,人像写真精选写真人像摄影高颜值女神聚集地暖色调人像拍女友才是正经事糖水人像小组唯美人像摄影人像爱好者美女人像群女性时尚人像年轻肖像度假少女色彩少女写真,Canon EOS 200D,,"f/5.6, 1/250s, ISO100",2171.0,59.0,2.0,5.6,100,1/250s,4.0
96,阿花Photo,"浴缸女孩🛁

ᴰᵒⁿ'ᵗ ʷᵒʳʳʸ, ʸᵒᵘ ᵃⁿᵈ ᵗʰᵒˢᵉ ᵍᵒᵒᵈ ᵗʰⁱⁿᵍˢ ʷⁱˡˡ ᵐᵉᵉᵗ ᵒⁿᵉ ᵈᵃʸ.
不要急，你和那些好东西总有一天会相遇。 ​​​​",高颜值女神聚集地美女写真人像重庆约拍女摄,Canon EOS 5D Mark IV,Canon EF 50mm f/1.2L USM,"f/2.0, 1/160s, ISO640",4317.0,92.0,6.0,2.0,640,1/160s,6.25
101,Estable彭,愿你笑面如花，温文儒雅。,人像爱好者高颜值女神聚集地我们都爱日系摄影拍女友才是正经事分享神仙颜值房间女孩床卧室私房人像,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/3.5, 1/800s, ISO640",3430.0,90.0,3.0,3.5,640,1/800s,1.25
102,一卷摄影工作室,,人像写真少女女孩美女,Canon EOS 5D Mark IV,Canon EF 85mm f/1.8 USM,"f/2.8, 1/160s, ISO100",12081.0,471.0,30.0,2.8,100,1/160s,6.25
104,摄影师张皓,很多时候，心里有一些情绪一晃而过，那情绪，似乎触碰到我心底的某一根弦，我想捕捉它，可是，却仿佛什么也没有。,写真人像摄影人像写真精选人像摄影集文艺私房圈子高颜值女神聚集地暖色调人像胶片人像摄影胶片集日系集情绪人像胶片日系私房,SONY ILCE-7RM3,,"f/1.8, 1/160s, ISO200",978.0,20.0,0.0,1.8,200,1/160s,6.25
109,一碗茧,"下次我们一起去个更美的地方
          🛵🤸🏻‍♀️🌷🌹🌿🌱",人文天下静物美学绝不停止记录的2019我要上开屏春天的歌我们都在孤独星球拍女友才是正经事镜头下的生活美学生活小确幸晒晒旅行打卡照人人像色彩少女JK制服制服春天写真浙江,Canon EOS-1D X Mark II,Canon EF 35mm f/1.4L II USM,"f/3.2, 1/400s, ISO400",966.0,15.0,0.0,3.2,400,1/400s,2.5
110,梅_Mei,"【潘之琳Ⅹ锐Pioneer 】

摄影：Mei
后期：昕博

#叁念影像工作室#",人像女孩时尚成人肖像,Nikon D800E,24-70mm f/2.8,"f/5.6, 1/125s, ISO400",3571.0,131.0,9.0,5.6,400,1/125s,8.0
112,用户159110724697800,,500台胶片相机漂流创作计划风光城市纪实人像女孩景观色彩写真佳能50mm广角尼康武汉,Canon EOS 70D,Canon EF 50mm f/1.8 STM,"f/3.5, 1/8000s, ISO100",932.0,21.0,1.0,3.5,100,1/8000s,0.125
117,lemon凉卜,,写真人像摄影肖像女孩人像少女情绪记录,Nikon D750,AF Nikkor 50mm f/1.4D,"f/2.8, 1/160s, ISO800",4731.0,99.0,10.0,2.8,800,1/160s,6.25
123,大树sonara,你沉默如星 遥远而明亮,人像写真精选女孩私房少女,Canon EOS 800D,Canon EF 50mm f/1.8 STM,"f/6.3, 1/400s, ISO12800",1870.0,37.0,1.0,6.3,12800,1/400s,2.5
125,咸鱼壹條,"出镜：圈圈
快门：我
去年拍的图，今年终于找机会修了发了。。。",人像私房,Canon EOS 5D Mark IV,Canon EF 50mm f/1.4 USM,"f/1.8, 1/80s, ISO250",991.0,24.0,2.0,1.8,250,1/80s,12.5
127,文艺天少,"出镜：菌子
摄影及后期：天少",色彩人像少女小清新佳能光影樱花JK制服JK制服,Canon EOS 5D Mark IV,Canon EF 50mm f/1.2L USM,"f/1.4, 1/1250s, ISO100",3337.0,81.0,5.0,1.4,100,1/1250s,0.8
129,A人像摄影师小蔡,,对短发姑娘没有任何抵抗力！糖水人像小组高颜值女神聚集地人像写真精选人像爱好者婚礼纪实摄影俱乐部图虫城市建筑一起去拍城市天际线一起拍建筑时尚,Canon EOS 5D Mark III,Canon EF 50mm f/1.8 STM,"f/4.0, 1/250s, ISO125",772.0,15.0,0.0,4.0,125,1/250s,4.0
131,阿脸呀alianya,,人像旅行少女,Canon EOS 6D,35mm F1.4 DG HSM | Art 012,"f/2.8, 1/250s, ISO800",2783.0,82.0,0.0,2.8,800,1/250s,4.0
136,key235,,人像胶片少女索尼写真,SONY ILCE-7M2,,"f/2.2, 1/80s, ISO2500",813.0,17.0,1.0,2.2,2500,1/80s,12.5
138,王峰先生,"与其碌碌无为，不如兴风作浪  ​​​🌊
#原创作品分享/高定写真/肖像",写真人像摄影生活太苦，吃点甜的我们都爱黑白摄影分享决定性瞬间评论斗图大赛人像时尚黑白,Canon EOS 5D Mark III,,"f/4.0, 1/125s, ISO100",1280.0,31.0,3.0,4.0,100,1/125s,8.0
139,周周發財了吗,扬州约拍｜所有的美好都会在春天向你奔来,暖色调人像女孩连衣裙日落草坪肖像扬州约拍轻婚纱,Canon EOS 77D,Canon EF-S 18-135mm f/3.5-5.6 IS USM,"f/5.6, 1/400s, ISO100",1493.0,32.0,0.0,5.6,100,1/400s,2.5
142,极樂d,"他年相逢莫相询 一笑江湖两相忘

饮酒说故事 醉心不醉人",写真人像摄影写真古风,Nikon D750,AF-S Nikkor 85mm f/1.8G,"f/4.5, 1/2000s, ISO100",831.0,20.0,0.0,4.5,100,1/2000s,0.5
152,半价薯片,,人像尼康色彩美女35mm情绪,Nikon D750,AF-S Nikkor 85mm f/1.8G,"f/1.8, 1/100s, ISO640",519.0,16.0,0.0,1.8,640,1/100s,10.0
154,藤丼樹,5月的荒野上会刮一万种风，但人间只一个我。|@阿凡,人像写真馆夏季人像胶片大自然草河滩少女约拍情绪,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/800s, ISO100",8571.0,222.0,19.0,2.8,100,1/800s,1.25
158,丶心五口,"#少女写真#
太阳消失了☁️
那就等风来🍃",写真人像摄影人像写真精选少女摄影人像写真少女写真写真,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/3.2, 1/250s, ISO250",703.0,18.0,0.0,3.2,250,1/250s,4.0
159,折鹿Lynx,貂蝉仲夏夜之梦,Cosplaycos二次元王者荣耀貂蝉仲夏夜之梦摄影约拍人像,SONY ILCE-7RM2,SIGMA 35mm F1.4 DG HSM | Art 018,"f/2.0, 1/200s, ISO50",8669.0,145.0,19.0,2.0,50,1/200s,5.0
160,一个忘了吃药的摄影师,"黑白情侣照
既酷又亲密",人像写真精选时尚人像女孩年轻,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/5.0, 1/100s, ISO125",1854.0,31.0,0.0,5.0,125,1/100s,10.0
164,紫雨夕阳,,人像性感私房,Canon EOS 5D Mark IV,Canon EF 16-35mm f/2.8L II USM,"f/8.0, 1/160s, ISO100",824.0,23.0,0.0,8.0,100,1/160s,6.25
166,我可能是暖男sjn,,高颜值女神聚集地活跃的自由冬季乐趣人像美女女孩日系胶片天空海边街拍抓拍旅行色彩海风,Canon EOS RP,Canon EF 50mm f/1.8 STM,"f/1.8, 1/2000s, ISO100",1377.0,33.0,2.0,1.8,100,1/2000s,0.5
169,水元素,,2020百姓生活街头摄影双月赛（一二月）风光色彩人像城市旅行小清新美女50mm洛丽塔lolita,SONY ILCE-7M2,,"f/2.0, 1/160s, ISO125",4334.0,134.0,8.0,2.0,125,1/160s,6.25
170,拍设,阴雨濛濛时,写真人像摄影高颜值女神聚集地有温度的人像分享神仙颜值唯美人像摄影人像爱好者美女人像群晒晒旅行打卡照人像写真精选“遇见春天”摄影小赛女孩时尚漂亮的肖像日光人女人,Nikon D750,,"f/2.8, 1/125s, ISO200",680.0,16.0,0.0,2.8,200,1/125s,8.0
173,Se7en-7,,色彩人像抓拍少女写真,Canon EOS 5D Mark IV,Canon EF 100mm f/2.8L Macro IS USM,"f/2.8, 1/100s, ISO1600",1801.0,54.0,6.0,2.8,1600,1/100s,10.0
174,danny_wuminhao,,“遇见春天”摄影小赛人像宠物猫JK水手服少女日系清新,Nikon D610,AF Zoom-Nikkor 70-210mm f/4,"f/4.0, 1/250s, ISO125",1001.0,23.0,0.0,4.0,125,1/250s,4.0
177,会拍照的江流儿,民宿写真▪️复古港风 西安约拍,在室内民宿复古港风私房日系日系复古西安约拍西安旅游少女写真美腿连衣裙表情时尚服装模型镜房间肖像女孩对短发姑娘没有任何抵抗力！拍女友才是正经事高颜值女神聚集地糖水人像小组人像写真精选分享神仙颜值,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/100s, ISO1600",1226.0,18.0,1.0,2.8,1600,1/100s,10.0
179,冯瑾FengJin,沉睡中的苏醒,最美肖像照有温度的人像图虫开屏等你来占图虫封面你做主你来拍照，我来配诗，来一场摄影与诗的缠绵时装抓拍人像设计时尚,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/9.0, 1/160s, ISO200",8936.0,250.0,18.0,9.0,200,1/160s,6.25
181,GJXiN0,"摄影：@GJXiN0
更多图可移至微博",色彩人像旅行写真佳能,Canon EOS 5D Mark III,Canon EF 50mm f/1.4 USM,"f/4.5, 1/160s, ISO400",1295.0,40.0,4.0,4.5,400,1/160s,6.25
182,寂羽行,夕影,2020适马睛典时尚可爱适马105mm微距眼魅力漂亮的脸皮肤女孩适马,Canon EOS 6D,105mm,"f/4.0, 1/125s, ISO100",1281.0,36.0,3.0,4.0,100,1/125s,8.0
183,摄影师小诸葛,"读书多了，容颜自然改变，许多时候，自己可能以为许多看过的书籍都成过眼烟云，不复记忆，其实它们仍是潜在气质里、在谈吐上、在胸襟的无涯，当然也可能显露在生活和文字中。”
model：梦梦",人像写真摄影约拍人像色彩公园情绪美女日系,Canon EOS 5D Mark IV,Canon EF 50mm f/1.4 USM,"f/2.0, 1/250s, ISO100",946.0,18.0,0.0,2.0,100,1/250s,4.0
186,pytchrle,"【闺蜜写真】
这一路经历了许多 回头还是你",生活小确幸人像爱好者有温度的人像人像抓拍闺蜜写真写真姐妹,Canon EOS 750D,Canon EF-S 18-55mm f/3.5-5.6 IS STM,"f/5.6, 1/80s, ISO200",1322.0,30.0,2.0,5.6,200,1/80s,12.5
188,JimmyYou,——是这世界太坏，还是人类的不珍爱？,2020新影像大赛人像纪实黑白摄影时尚肖像艺术创作情绪艺术摄影2020新影像大赛——众生相,Canon EOS 5DS,Canon EF 50mm f/1.2L USM,"f/4.0, 1/100s, ISO250",1932.0,51.0,3.0,4.0,250,1/100s,10.0
189,像小象,喜欢吗,人像写真精选写真可爱约拍绵阳约拍成都约拍,Nikon D750,AF-S Zoom-Nikkor 24-70mm f/2.8G ED,"f/3.2, 1/160s, ISO500",939.0,18.0,1.0,3.2,500,1/160s,6.25
191,我最爱吃大西瓜,"尼康D7500
18-140
小白初学 柔光人像
来几个老师指点一下",情感人像摄影史小千的影像训练营中国禅意摄影蔡汶川的影像训练营雷靖的影像训练营三栖影社摄影学院陌年的影像训练营人像女孩时尚成人,Nikon D7500,,"f/4.2, 1/200s, ISO100",1605.0,30.0,2.0,4.2,100,1/200s,5.0
194,黑色野象,关于蓝,高颜值女神聚集地暖色调人像我要上开屏我要上“首页推荐位”分享神仙颜值色彩后期纪实美女人像城市人文,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/3.5, 1/160s, ISO200",804.0,21.0,1.0,3.5,200,1/160s,6.25
195,一碗茧,夏天真热,晒晒旅行打卡照人文天下静物美学绝不停止记录的2019我要上开屏春天的歌我们都在孤独星球拍女友才是正经事镜头下的生活美学生活小确幸时尚服装连衣裙模型在室内肖像女孩一人人像,Canon EOS-1D X Mark II,Canon EF 35mm f/1.4L II USM,"f/3.2, 1/80s, ISO1250",772.0,15.0,0.0,3.2,1250,1/80s,12.5
200,原来是麦田呀,桃花开,夏天的样子这个巷子有故事写真日系,Nikon D850,AF-S Nikkor 50mm f/1.8G,"f/1.8, 1/5000s, ISO100",702.0,17.0,1.0,1.8,100,1/5000s,0.2
203,KylinLau_麒麟,我的马戏团🎪,时尚杂志摄影圈子时尚艺术色彩人像摄影创作创作,Canon EOS 5D Mark III,Canon EF 24-105mm f/4L IS USM,"f/7.1, 2.5s, ISO100",818.0,16.0,2.0,7.1,100,2.5s,400.0
204,张小俊超正经,可爱系女友上限，欲购从速,富士Fujifilm圈子糖水人像小组暖色调人像人像爱好者我要上开屏周末好时光富士美女人像小清新商店超市购物,FUJIFILM X-H1,XF35mmF1.4 R,"f/1.4, 1/220s, ISO200",1024.0,23.0,1.0,1.4,200,1/220s,4.545454545454546
208,泽一君L,兔子头套~,胶片人像摄影高颜值女神聚集地好色之图我们都爱日系摄影人像写真精选日系集人像人日光日系少女,,SIGMA 30mm F1.4 DC DN | Contemporary 016,"f/1.6, 1/1000s, ISO100",1040.0,20.0,0.0,1.6,100,1/1000s,1.0
209,Photographer逍遥,"Photo：me
Makeup：康达
Model：basy",人像写真摄影约拍色彩美丽漂亮的人像时尚女孩模特性感的魅力年轻优雅肖像,Nikon D800,,"f/9.0, 1/160s, ISO100",1605.0,38.0,1.0,9.0,100,1/160s,6.25
212,疃疃,壁纸图,人像时尚人魅力女孩手机优雅胶片人像摄影写真人像摄影,Canon EOS 5D Mark III,Canon EF 24-105mm f/4L IS USM,"f/6.3, 1/320s, ISO100",1200.0,34.0,2.0,6.3,100,1/320s,3.125
214,Tommy汤面,情愫,高颜值女神聚集地广州佛山人像摄影约拍小组人像女神少女美女写真情绪肖像文艺,SONY ILCE-7RM2,,"f/2.0, 1/125s, ISO125",4359.0,97.0,4.0,2.0,125,1/125s,8.0
